nom,date,season,longitude,latitude,temperature
Adi,01/01/2017,Winter,-3.245955932,39.40973906,0.7
Adi,01/02/2017,Winter,-3.256597861,39.40890036,7.6
Adi,01/03/2017,Spring,-3.444664616,39.95674541,8.3
Adi,01/04/2017,Spring,-2.08464768,41.80818121,6.1
Adi,01/05/2017,Spring,4.372091703,45.6897666,7.3
Adi,01/06/2017,Summer,10.28197618,52.02230776,14.3
Adi,01/07/2017,Summer,10.4790155,52.15316866,15.4
Adi,01/08/2017,Summer,8.590316597,50.2268979,21.2
Adi,01/09/2017,Fall,0.47886928,41.82353559,20.5
Adi,01/10/2017,Fall,-5.65169551,37.7079222,26.6
Adi,01/11/2017,Fall,-6.04943371,37.42899469,19.2
Adi,01/12/2017,Winter,-6.004836739,37.59304389,9
Adi,01/01/2018,Winter,-5.923650748,37.20961721,10.4
Adi,01/02/2018,Winter,-5.887003979,37.21273775,11.8
Adi,01/03/2018,Spring,-5.638992,37.35283587,13.9
Adi,01/04/2018,Spring,2.80317273,44.79842808,2.8
Adi,01/05/2018,Spring,9.854778016,52.92847566,8.6
Adi,01/06/2018,Summer,9.903663227,52.32074992,21.2
Adi,01/07/2018,Summer,10.48042454,52.17361471,17.6
Adi,01/08/2018,Summer,8.438480703,49.87316548,26.3
Adi,01/09/2018,Fall,0.334735257,41.62206613,25.1
Adi,01/10/2018,Fall,-3.174813357,39.42574075,20.5
Adi,01/11/2018,Fall,-3.667840533,38.88469094,7.8
Adi,01/12/2018,Winter,-3.663878781,38.87658483,6
Adi,01/01/2019,Winter,-3.675089723,38.92975585,4.9
Adi,01/02/2019,Winter,-3.719576275,38.86663809,7.5
Adi,01/03/2019,Spring,-0.871347732,41.52021464,11.2
Adi,01/04/2019,Spring,10.352993,52.17972012,5.2
Adi,01/05/2019,Spring,10.49287795,52.26395855,11.8
Adi,01/06/2019,Summer,10.4880609,52.23671318,19.5
Adi,01/07/2019,Summer,10.48615552,52.22749078,21
Adi,01/08/2019,Summer,10.5065662,52.21485599,19.4
Adi,01/09/2019,Fall,7.015986929,48.06683148,14.5
Adios,01/06/2015,Summer,8.343160272,49.12890228,14.9
Adios,01/07/2015,Summer,8.045212845,48.8274362,26.3
Adios,01/08/2015,Summer,5.00359178,45.74094503,19.8
Adios,01/09/2015,Fall,0.799392817,41.68813926,24
Adios,01/10/2015,Fall,-4.756457323,38.13211175,21.5
Adios,01/11/2015,Fall,-6.12545808,37.0593216,17.7
Adios,01/12/2015,Winter,-6.095835777,37.01560851,12.6
Adios,01/01/2016,Winter,-6.1432515,36.59073633,16.5
Adios,01/02/2016,Winter,-6.150511266,36.57671073,14.8
Adios,01/03/2016,Spring,-6.082818523,36.87409252,11.6
Adios,01/04/2016,Spring,-5.945597212,37.19759041,13.9
Aldo,01/06/2014,Summer,10.84173445,49.82378526,14.2
Aldo,01/07/2014,Summer,10.84176423,49.82377028,15.7
Aldo,01/08/2014,Summer,10.60126937,49.57377089,20.7
Aldo,01/09/2014,Fall,2.56343966,43.89810255,16.6
Aldo,01/10/2014,Fall,-1.293729848,42.14084525,18.8
Aldo,01/11/2014,Fall,-1.369755063,42.16233927,15.8
Aldo,01/12/2014,Winter,-1.365942157,42.16448989,10
Aldo,01/01/2015,Winter,-1.366023467,42.164566,3.1
Aldo,01/02/2015,Winter,-1.36604885,42.16460405,3
Aldo,01/03/2015,Spring,-1.3660144,42.16455145,11.1
Aldo,01/04/2015,Spring,-1.366019613,42.16455734,10
Aldo,01/05/2015,Spring,-1.366013,42.1645345,16.4
Alessia,01/06/2014,Summer,9.250836579,48.01885216,12.8
Alessia,01/07/2014,Summer,9.250836435,48.01885039,15.7
Alessia,01/08/2014,Summer,9.1298323,47.95385517,18.2
Alessia,01/09/2014,Fall,4.145866867,44.09745227,20.5
Alexa,01/06/2017,Summer,8.24910454,49.19288532,20.6
Alexa,01/07/2017,Summer,8.249894261,49.19261427,16.4
Alexa,01/08/2017,Summer,4.562504068,44.70816689,26.3
Alexa,01/09/2017,Fall,0.86718229,41.71992285,21.4
Alexa,01/10/2017,Fall,0.579244681,41.58943519,20.9
Alexa,01/11/2017,Fall,0.56740038,41.55221662,15.1
Alexa,01/12/2017,Winter,0.598396932,41.56892493,5.5
Andra,01/06/2015,Summer,8.180466278,49.21040506,14.5
Andra,01/06/2016,Summer,8.37254044,49.61612644,15.2
Andra,01/07/2016,Summer,8.372555965,49.61612092,20.5
Andra,01/08/2016,Summer,4.918188481,46.01629372,20.6
Andra,01/09/2016,Fall,0.510361943,41.58957426,26.6
Andre,01/06/2015,Summer,9.604628267,47.85132385,17.1
Andre,01/07/2015,Summer,9.652612055,47.88565556,22.5
Andre,01/08/2015,Summer,5.353438365,44.54565162,16.4
Andre,01/09/2015,Fall,1.147048233,41.67697272,22.8
Andre,01/10/2015,Fall,0.209205935,41.29473091,17.3
Andre,01/11/2015,Fall,0.209191113,41.29477639,14.1
BaNes,01/06/2019,Summer,8.319723668,49.11793137,20.4
BaNes,01/07/2019,Summer,8.180971915,48.93525056,25.9
BaNes,01/08/2019,Summer,-1.726277201,41.31007016,25.3
BaNes,01/09/2019,Fall,-5.978410385,35.43900195,23.4
Baar-Ebenhausen2+,01/06/2020,Summer,11.46511532,48.67630339,16.7
Baar-Ebenhausen2+,01/07/2020,Summer,11.46509127,48.67629976,21.5
Baar-Ebenhausen2+,01/08/2020,Summer,18.35938344,45.21263091,25.4
Baar-Ebenhausen2+,01/09/2020,Fall,34.26109892,27.99592781,32.3
Baunach,01/06/2023,Summer,10.85125291,49.9858823,19.8
Baunach,01/07/2023,Summer,10.84036319,49.96216749,17.9
Baunach,01/08/2023,Summer,8.5892298,47.50576841,17.8
Baunach,01/09/2023,Fall,-3.392009617,38.37464393,25.7
Baunach,01/10/2023,Fall,-5.783345759,35.88092173,20.5
Baunach,01/11/2023,Fall,-6.596153183,35.79135174,19.4
Baunach,01/12/2023,Winter,-6.777163275,34.14871103,16.9
Bella,01/06/2019,Summer,11.46105853,48.61535411,18.5
Bella,01/07/2019,Summer,11.46095722,48.6154463,23.8
Bella,01/08/2019,Summer,11.20416697,48.50764354,19.3
Bella,01/09/2019,Fall,0.947059067,42.27745303,21.9
Bembo,01/06/2016,Summer,11.46095068,48.61546142,15.6
Bembo,01/07/2016,Summer,11.41653287,48.61342087,20.6
Bembo,01/08/2016,Summer,8.082250448,46.73150707,15.6
Bembo,01/09/2016,Fall,-4.055078223,38.55646376,26.4
Bembo,01/10/2016,Fall,-6.240420681,34.74810466,22.6
Bembo,01/11/2016,Fall,-6.2481304,34.67590501,22.5
Bembo,01/12/2016,Winter,-6.446527126,34.41841669,16.7
Bembo,01/01/2017,Winter,-6.581123213,34.27421898,10.3
Bembo,01/02/2017,Winter,-6.572266957,34.28543645,12.9
Bembo,01/03/2017,Spring,-6.564597461,34.2932721,12.4
Bembo,01/04/2017,Spring,-6.221974097,36.80950342,14.7
Bembo,01/05/2017,Spring,-5.523903421,38.86516203,12.2
Bembo,01/06/2017,Summer,-4.451362663,39.73910372,23.3
Bembo,01/07/2017,Summer,-3.6012904,40.28937873,18.7
Bembo,01/08/2017,Summer,-3.571354348,40.27687667,27
Bembo,01/09/2017,Fall,-3.55733283,40.30564345,20.8
Bembo,01/10/2017,Fall,-3.586861461,40.30125958,21.7
Bembo,01/11/2017,Fall,-3.591506413,40.29244291,14.5
Bembo,01/12/2017,Winter,-3.592462232,40.25818102,3.2
Bembo,01/01/2018,Winter,-3.55401589,40.32128983,6.9
Bembo,01/02/2018,Winter,-3.557583721,40.3214382,5
Bembo,01/03/2018,Spring,0.021126445,42.42148178,3
Bembo,01/04/2018,Spring,11.10913513,48.52907613,5.1
Bembo,01/05/2018,Spring,10.62010933,49.03904098,9.7
Bembo,01/06/2018,Summer,10.57871081,49.23267371,18.1
Bembo,01/07/2018,Summer,10.60458812,49.21750424,16.5
Bembo,01/08/2018,Summer,9.8141787,48.7194336,25
Bembo,01/09/2018,Fall,-1.34060656,40.26294008,19.6
Bembo,01/10/2018,Fall,-3.672475625,38.90525655,21.2
Bembo,01/11/2018,Fall,-3.678516003,38.91974719,7.9
Bembo,01/12/2018,Winter,-3.666131652,38.89276877,6.2
Bembo,01/01/2019,Winter,-3.669490594,38.91196838,4.9
Bembo,01/02/2019,Winter,-3.674126564,38.90202298,7.7
Bembo,01/03/2019,Spring,6.988188987,46.64644385,2.8
Bembo,01/04/2019,Spring,10.65481956,49.21878191,8.6
Bembo,01/05/2019,Spring,10.66265623,49.21593032,11.1
Bembo,01/06/2019,Summer,10.65337606,49.21848298,18.2
Bembo,01/07/2019,Summer,10.62930518,49.22304495,24
Bembo,01/08/2019,Summer,10.66207251,49.21161375,18.8
Bembo,01/09/2019,Fall,0.421494987,42.20454599,24
Bembo,01/10/2019,Fall,-3.586392855,40.33195846,20.2
Bembo,01/11/2019,Fall,-3.61429761,40.31700543,17
Bembo,01/12/2019,Winter,-3.588731965,40.31329948,8.4
Bembo,01/01/2020,Winter,-3.594361771,40.3151756,3.7
Bembo,01/02/2020,Winter,-0.192536055,42.2784735,5
Bembo,01/03/2020,Spring,10.6668858,49.21403888,6.5
Bembo,01/04/2020,Spring,10.65166804,49.21656743,1.3
Bembo,01/05/2020,Spring,10.64756556,49.22109851,9.7
Bembo,01/06/2020,Summer,10.65448216,49.21683281,16.5
Bembo,01/07/2020,Summer,10.66412469,49.21384517,20.7
Bembo,01/08/2020,Summer,10.67304488,49.20852316,25.2
Bembo,01/09/2020,Fall,0.439417033,42.6756767,3.7
Bembo,01/10/2020,Fall,-3.611594219,40.3193938,18.4
Bembo,01/11/2020,Fall,-3.604068107,40.32428037,12.9
Bembo,01/12/2020,Winter,-3.608737487,40.32295435,7.8
Bembo,01/01/2021,Winter,-3.599043261,40.31540162,3.8
Bembo,01/02/2021,Winter,3.484950936,44.46723882,5.2
Bembo,01/03/2021,Spring,10.66431473,49.21241264,4
Bembo,01/04/2021,Spring,10.66540414,49.2162228,14
Bembo,01/05/2021,Spring,10.66531471,49.21620603,7.5
Bembo,01/06/2021,Summer,10.66533569,49.2162088,14.8
Bembo,01/07/2021,Summer,10.65970984,49.21660971,13.8
Bembo,01/08/2021,Summer,10.6640052,49.21479462,15.3
Bembo,01/09/2021,Fall,-0.37248966,41.95245875,21
Bembo,01/10/2021,Fall,-3.608280803,40.32528403,18.7
Bembo,01/11/2021,Fall,-3.61176079,40.31592895,14.8
Bembo,01/12/2021,Winter,-3.608563232,40.3209789,5.7
Bembo,01/01/2022,Winter,-3.595201719,40.31901899,6.7
Bembo,01/02/2022,Winter,0.671355821,42.45300099,5.2
Bembo,01/03/2022,Spring,10.66016602,49.21706777,0
Bembo,01/04/2022,Spring,10.66534887,49.21620983,1
Bembo,01/05/2022,Spring,10.6613255,49.21749442,10.3
Bembo,01/06/2022,Summer,10.66068244,49.2175408,15.2
Bembo,01/07/2022,Summer,10.67058122,49.20716586,13.8
Bembo,01/08/2022,Summer,8.237855774,47.56805999,23.3
Bembo,01/09/2022,Fall,-3.58309181,39.04465139,23.9
Bembo,01/10/2022,Fall,-3.253005087,39.4072887,15.5
Bembo,01/11/2022,Fall,-3.263859913,39.41735342,15.3
Bembo,01/12/2022,Winter,-3.237820187,39.44086007,8.4
Bembo,01/01/2023,Winter,-3.230515313,39.43294782,9.1
Bembo,01/02/2023,Winter,-0.540721889,41.345169,7.3
Bembo,01/03/2023,Spring,10.10081505,49.02942821,1.2
Bembo,01/04/2023,Spring,10.6638204,49.21571089,7.3
Bembo,01/05/2023,Spring,10.65444277,49.21836953,9.4
Bembo,01/06/2023,Summer,10.6399809,49.23103094,18
Bembo,01/07/2023,Summer,10.67922522,49.21068473,18
Bembo,01/08/2023,Summer,10.67759817,49.20574133,17
Bembo,01/09/2023,Fall,6.736600386,46.42969839,19.7
Bembo,01/10/2023,Fall,-3.617704577,40.30495057,22.3
Bembo,01/11/2023,Fall,-3.588719503,40.32389451,12.2
Bembo,01/12/2023,Winter,-3.607184974,40.32386664,9
Bembolina,01/06/2019,Summer,11.4612379,48.61513809,18.5
Bembolina,01/07/2019,Summer,11.46095609,48.61543531,23.8
Bembolina,01/08/2019,Summer,10.58620123,48.14206275,17.7
Bembolina,01/09/2019,Fall,-4.670051193,36.13642142,23.3
Bembolina,01/10/2019,Fall,-5.950831452,34.99314418,21.8
Bembolina,01/11/2019,Fall,-6.003377713,34.99928723,20.6
Bembolina,01/12/2019,Winter,-6.031593755,35.03471573,13.2
Bembolina,01/01/2020,Winter,-5.948022529,34.98655026,11.9
Bembolina,01/02/2020,Winter,-5.920247486,35.26657038,13.7
Bembolina,01/03/2020,Spring,-5.987323677,34.98699761,14.9
Bembolina,01/04/2020,Spring,-5.270454233,36.45103576,10.3
Bembolina,01/05/2020,Spring,2.249644817,42.00113447,16.1
Bonsai,01/06/2018,Summer,8.167824257,49.22111242,19.1
Bonsai,01/07/2018,Summer,8.192886645,49.21271098,21.9
Bonsai,01/08/2018,Summer,8.042315897,48.96292346,26.4
Bonsai,01/09/2018,Fall,0.962081313,41.79689435,22.7
Bonsai,01/10/2018,Fall,0.608493094,41.56855913,19
Bonsai,01/11/2018,Fall,0.621748377,41.55955455,10.5
Bonsai,01/12/2018,Winter,0.62163126,41.55598944,8.2
Borni,01/06/2015,Summer,8.167813828,49.22121681,14.5
Borni,01/07/2015,Summer,8.167787703,49.22122744,25.3
Borni,01/08/2015,Summer,4.579391903,44.70465538,18.6
Borni,01/09/2015,Fall,-5.523876263,23.47490281,37.4
Borni,01/10/2015,Fall,-4.989472535,15.26953299,32.6
Borni,01/11/2015,Fall,-4.787330233,15.14941826,30.8
Borni,01/12/2015,Winter,-4.614239542,15.00438678,27.2
Borni,01/01/2016,Winter,-4.540271248,14.69992972,23.6
Borni,01/02/2016,Winter,-4.501520386,14.84778449,22.3
Borni,01/03/2016,Spring,-4.866434275,14.48810963,28
Borni,01/06/2016,Summer,8.167800711,49.22105232,15.2
Borni,01/07/2016,Summer,8.186002903,49.22494577,20.2
Borni,01/08/2016,Summer,6.295121977,47.59234137,17.6
Borni,01/09/2016,Fall,-5.003739747,37.69719868,28.4
Borni,01/10/2016,Fall,-5.706382294,37.02105958,23.7
Borni,01/11/2016,Fall,-5.959797433,37.35341654,18.7
Borni,01/12/2016,Winter,-6.009713545,37.59110884,13.1
Borni,01/01/2017,Winter,-6.296048426,37.46913115,9
Borni,01/02/2017,Winter,-6.617962693,37.41854076,12.5
Borni,01/03/2017,Spring,-6.596575187,37.38872407,13.1
Borni,01/04/2017,Spring,-5.86015769,37.45265299,15.7
Borni,01/05/2017,Spring,-2.5164022,41.45770328,7.4
Borni,01/06/2017,Summer,1.482106125,45.26798558,18.9
Borni,01/07/2017,Summer,3.971710148,47.19031898,11.7
Borni,01/08/2017,Summer,3.740256842,46.50320244,20.9
Borni,01/09/2017,Fall,-0.614662089,42.17385758,17.7
Borni,01/10/2017,Fall,-6.012022242,37.15060122,24.8
Borni,01/11/2017,Fall,-5.94160902,37.1948977,19.1
Borni,01/12/2017,Winter,-5.893591542,37.21666347,8.4
Borni,01/01/2018,Winter,-6.077896735,37.48843837,10.5
Borni,01/02/2018,Winter,-6.009000281,37.59510793,11.7
Borni,01/03/2018,Spring,-2.890669858,39.5738438,8.5
Borni,01/04/2018,Spring,8.28410756,51.55538918,3.6
Borni,01/05/2018,Spring,9.092873,53.18264093,7.7
Borni,01/06/2018,Summer,7.186889187,47.79008907,18.2
Borni,01/07/2018,Summer,5.135518465,46.88947694,26.3
Borni,01/08/2018,Summer,4.889603803,46.26338957,25.9
Borni,01/09/2018,Fall,5.019425639,45.98178157,16.5
Carolin,01/06/2014,Summer,10.84240006,49.86392689,14.4
Carolin,01/07/2014,Summer,10.84242598,49.86393075,15.6
Carolin,01/08/2014,Summer,10.74768933,49.310321,20.2
Carolin,01/09/2014,Fall,-4.572827083,36.65420486,24.6
Carolin,01/10/2014,Fall,-7.048101519,33.55263889,22.8
Carolin,01/11/2014,Fall,-7.29016946,33.63411212,20.3
Carolin,01/12/2014,Winter,-7.300247974,33.62900896,14.4
Carolin,01/01/2015,Winter,-7.260145729,33.64087267,10.5
Carolin,01/02/2015,Winter,-7.290365868,33.63195209,10.6
Carolin,01/03/2015,Spring,-7.302770723,33.64020456,13.5
Carolin,01/04/2015,Spring,-6.925669435,33.95578499,17.7
Chrisi,01/06/2016,Summer,8.322868579,49.11731141,15.6
Chrisi,01/07/2016,Summer,8.321703897,49.11667179,20.5
Chrisi,01/08/2016,Summer,7.922218032,47.85977393,14.4
Chrisi,01/09/2016,Fall,0.637864842,41.72042802,26.7
Cosima,01/06/2015,Summer,8.372542147,49.61610071,14.6
Cosima,01/07/2015,Summer,8.367822968,49.61564529,25.6
Cosima,01/08/2015,Summer,5.05322749,45.02493053,19.8
Cosima,01/09/2015,Fall,-2.747617831,37.7790191,22.8
Daisy,01/06/2016,Summer,8.1691484,49.22006716,15.3
Daisy,01/07/2016,Summer,8.164378732,49.21003546,20.2
Daisy,01/08/2016,Summer,2.777185961,43.97582267,19.3
Daisy,01/09/2016,Fall,-8.301042567,30.08835056,20.2
Daisy,01/10/2016,Fall,-13.14446933,17.0853897,35.5
Daisy,01/11/2016,Fall,-10.00289608,15.88062623,30.3
Dirgni,01/06/2015,Summer,8.372552282,49.61611033,14.6
Dirgni,01/07/2015,Summer,8.375288274,49.62125097,25.6
Dirgni,01/08/2015,Summer,5.979722384,46.18656004,17.9
Dirgni,01/09/2015,Fall,-1.040717257,41.12071846,18.2
Dirgni,01/10/2015,Fall,-4.512286658,39.18754609,19.7
Doris2,01/08/2019,Summer,5.211661267,45.85605787,20.3
Doris2,01/09/2019,Fall,-2.173121313,40.75445774,21.7
Doris2,01/10/2019,Fall,-3.610403619,40.27340406,20.8
Doris2,01/11/2019,Fall,-3.5910301,40.22970296,16.8
Doris2,01/12/2019,Winter,-3.574450642,40.29879418,8.4
Doris2,01/01/2020,Winter,-3.571037313,40.31945815,3.5
Doris2,01/02/2020,Winter,-3.587167334,40.30924226,13
Doris2,01/03/2020,Spring,-2.524947697,40.7906298,6.5
Doris2,01/04/2020,Spring,-0.543284583,41.77929306,8.3
Doris2,01/05/2020,Spring,0.723124913,41.62760717,19.3
Doris2,01/06/2020,Summer,0.61896202,41.610203,21.9
Doris2,01/07/2020,Summer,0.616753116,41.64515116,29
Doris2,01/08/2020,Summer,-0.318173974,40.59774059,24.7
Doris2,01/09/2020,Fall,-5.434235947,36.22670165,22.6
Doris2,01/10/2020,Fall,-6.09496391,34.87639973,21.3
Doris2,01/11/2020,Fall,-6.46260135,34.36476443,18.9
Ede,01/06/2015,Summer,8.16780145,49.22122096,14.5
Ede,01/07/2015,Summer,8.213231955,49.02139877,26
Ede,01/08/2015,Summer,4.777748697,44.95945065,18.1
Elfie,01/06/2015,Summer,11.46095695,48.61546109,17.9
Elfie,01/07/2015,Summer,11.46095034,48.61546951,22.8
Elfie,01/08/2015,Summer,9.033532371,47.81179989,17.8
Elfie,01/09/2015,Fall,1.97327195,42.80212612,15.1
Elfie,01/10/2015,Fall,0.588556426,41.56199744,17.4
Elfie,01/11/2015,Fall,0.61015852,41.57585711,14.8
Elfie,01/12/2015,Winter,0.607152542,41.57446685,6.1
Elfie,01/01/2016,Winter,0.579699994,41.56125776,8.8
Elfie,01/02/2016,Winter,0.570019666,41.56824939,11.1
Elfie,01/03/2016,Spring,0.5493427,41.56099662,8.8
Elfie,01/04/2016,Spring,3.889968853,44.66971607,3.2
Elfie,01/05/2016,Spring,10.22207924,49.54997482,11.5
Elfie,01/06/2016,Summer,10.96227077,49.6312794,15.6
Elfie,01/07/2016,Summer,10.93837583,49.48803764,20.2
Elfie,01/08/2016,Summer,10.55495664,49.26052565,16.7
Elfie,01/09/2016,Fall,6.95762649,46.13893121,12.2
Elfie,01/10/2016,Fall,4.371749735,43.58623382,19.4
Elfie,01/11/2016,Fall,4.36639588,43.59020818,15.7
Elfie,01/12/2016,Winter,4.551243835,43.6552996,7.2
Elfie,01/01/2017,Winter,4.502661839,43.6253378,5.3
Elfie,01/02/2017,Winter,4.450149836,43.62349126,12.1
Elfie,01/03/2017,Spring,5.809697681,44.74761711,-2.7
Elfie,01/04/2017,Spring,10.71553608,49.06332888,13.5
Elfie,01/05/2017,Spring,10.64896251,49.00212596,6.6
Elfie,01/06/2017,Summer,10.45397227,48.24697849,18.3
Elfie,01/07/2017,Summer,10.44767065,48.20334858,15.7
Elfie,01/08/2017,Summer,10.44986231,48.20377286,23.1
Elfie,01/09/2017,Fall,7.65845261,46.13824504,0
Elfie,01/10/2017,Fall,4.467930861,43.62017916,18.6
Elfie,01/11/2017,Fall,4.504155063,43.65540047,12.8
Elfie,01/12/2017,Winter,4.511748981,43.64042411,3.7
Elfie,01/01/2018,Winter,4.58364011,43.66408145,10
Elfie,01/02/2018,Winter,4.520366982,43.65578526,7.2
Elfie,01/03/2018,Spring,7.217380597,46.29776767,-14.1
Elfie,01/04/2018,Spring,11.93050193,50.7656804,3.2
Elfie,01/05/2018,Spring,11.93050645,50.76567935,10.4
Elfie,01/06/2018,Summer,11.95221445,50.77226001,20.4
Elfie,01/07/2018,Summer,11.98834467,50.78317286,15.1
Elfie,01/08/2018,Summer,7.657688006,46.89472936,22.9
Elfie,01/09/2018,Fall,4.52703612,43.65226431,22.3
Elfie,01/10/2018,Fall,4.497371977,43.66661759,16.8
